ordinal,task_key,title,source_corpus,source_slice,downloadable,public_bundle_status,public_csv,source_benchmark_csv,local_data_path_if_rebuilt,omission_reason,omission_caveat,redistribution_caveat,benchmark_subset,train_majority,train_minority,test_majority,test_minority,total_rows,source_manifest,task_manifest_files,provenance_note,risk_note
11,cic_unsw_nb15_generic,CIC-UNSW-NB15 Generic vs BENIGN,CIC-UNSW-NB15,retained_non_dos,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_fixed/cic_unsw_nb15_generic_vs_benign_preservedratio_train500minority_38500benign_test500minority_38500benign_fixed.csv,data/cic-unsw-nb15/cic_unsw_nb15_generic/cic_unsw_nb15_generic_vs_benign_preservedratio_train500minority_38500benign_test500minority_38500benign_fixed.csv,"Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.",train500_test500_single_label_25d_fixed,38500,500,38500,500,78000,metadata/source_manifests/retained_single_label_25d/cic_unsw_nb15_generic_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Data.csv joined row-wise with Label.csv in original row order..,
12,cic_unsw_nb15_reconnaissance,CIC-UNSW-NB15 Reconnaissance vs BENIGN,CIC-UNSW-NB15,retained_non_dos,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_fixed/cic_unsw_nb15_reconnaissance_vs_benign_preservedratio_train500minority_10500benign_test500minority_10500benign_fixed.csv,data/cic-unsw-nb15/cic_unsw_nb15_reconnaissance/cic_unsw_nb15_reconnaissance_vs_benign_preservedratio_train500minority_10500benign_test500minority_10500benign_fixed.csv,"Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.",train500_test500_single_label_25d_fixed,10500,500,10500,500,22000,metadata/source_manifests/retained_single_label_25d/cic_unsw_nb15_reconnaissance_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Data.csv joined row-wise with Label.csv in original row order..,
13,cic_unsw_nb15_shellcode,CIC-UNSW-NB15 Shellcode vs BENIGN,CIC-UNSW-NB15,retained_non_dos,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_fixed/cic_unsw_nb15_shellcode_vs_benign_preservedratio_train500minority_85000benign_test500minority_85000benign_fixed.csv,data/cic-unsw-nb15/cic_unsw_nb15_shellcode/cic_unsw_nb15_shellcode_vs_benign_preservedratio_train500minority_85000benign_test500minority_85000benign_fixed.csv,"Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.",train500_test500_single_label_25d_fixed,85000,500,85000,500,171000,metadata/source_manifests/retained_single_label_25d/cic_unsw_nb15_shellcode_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Data.csv joined row-wise with Label.csv in original row order..,
14,hikari_bruteforce_vs_benign,HIKARI-2021 Bruteforce vs BENIGN,HIKARI-2021,modern7,true,downloadable_csv_included,data/hikari-2021/hikari_bruteforce_vs_benign/hikari_bruteforce_vs_benign_preservedratio_train500minority_43500majority_test500minority_43500majority_modern7.csv,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/hikari_bruteforce_vs_benign/hikari_bruteforce_vs_benign_preservedratio_train500minority_43500majority_test500minority_43500majority_modern7.csv,data/hikari-2021/hikari_bruteforce_vs_benign/hikari_bruteforce_vs_benign_preservedratio_train500minority_43500majority_test500minority_43500majority_modern7.csv,,,Included with attribution caveat under the documented CC BY 4.0 source route; upstream terms still govern use.,train500_test500_modern_ids_7d,43500,500,43500,500,88000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/hikari_bruteforce_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/hikari_bruteforce_vs_benign/split_metadata.json,,
15,hikari_probing_vs_benign,HIKARI-2021 Probing vs BENIGN,HIKARI-2021,modern7,true,downloadable_csv_included,data/hikari-2021/hikari_probing_vs_benign/hikari_probing_vs_benign_preservedratio_train500minority_11000majority_test500minority_11000majority_modern7.csv,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/hikari_probing_vs_benign/hikari_probing_vs_benign_preservedratio_train500minority_11000majority_test500minority_11000majority_modern7.csv,data/hikari-2021/hikari_probing_vs_benign/hikari_probing_vs_benign_preservedratio_train500minority_11000majority_test500minority_11000majority_modern7.csv,,,Included with attribution caveat under the documented CC BY 4.0 source route; upstream terms still govern use.,train500_test500_modern_ids_7d,11000,500,11000,500,23000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/hikari_probing_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/hikari_probing_vs_benign/split_metadata.json,,
16,ciciomt2024_arp_spoofing_vs_benign,CICIoMT2024Small mirror ARP Spoofing vs BENIGN,CICIoMT2024Small mirror,modern7,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/ciciomt2024_arp_spoofing_vs_benign/ciciomt2024_arp_spoofing_vs_benign_preservedratio_train500minority_12500majority_test500minority_12500majority_modern7.csv,data/ciciomt2024small-mirror/ciciomt2024_arp_spoofing_vs_benign/ciciomt2024_arp_spoofing_vs_benign_preservedratio_train500minority_12500majority_test500minority_12500majority_modern7.csv,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,train500_test500_modern_ids_7d,12500,500,12500,500,26000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/ciciomt2024_arp_spoofing_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/ciciomt2024_arp_spoofing_vs_benign/split_metadata.json;metadata/source_manifests/modern_ids/ciciomt2024_arp_spoofing_vs_benign/access_status.md,Materialized from public Hugging Face CICIoMT2024Small mirror; official UNB endpoint remains registration-gated.,
17,ciciomt2024_mqtt_malformed_data_vs_benign,CICIoMT2024Small mirror MQTT Malformed Data vs BENIGN,CICIoMT2024Small mirror,modern7,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/ciciomt2024_mqtt_malformed_data_vs_benign/ciciomt2024_mqtt_malformed_data_vs_benign_preservedratio_train500minority_8500majority_test500minority_8500majority_modern7.csv,data/ciciomt2024small-mirror/ciciomt2024_mqtt_malformed_data_vs_benign/ciciomt2024_mqtt_malformed_data_vs_benign_preservedratio_train500minority_8500majority_test500minority_8500majority_modern7.csv,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,Omitted from downloadable CSV bundle because the benchmark used a public small-artifact mirror rather than an official open Small release; mirror-specific license terms were not clearly exposed and labels were assigned from filenames.,train500_test500_modern_ids_7d,8500,500,8500,500,18000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/ciciomt2024_mqtt_malformed_data_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/ciciomt2024_mqtt_malformed_data_vs_benign/split_metadata.json;metadata/source_manifests/modern_ids/ciciomt2024_mqtt_malformed_data_vs_benign/access_status.md,Materialized from public Hugging Face CICIoMT2024Small mirror; official UNB endpoint remains registration-gated.,
18,edge_iiotset_sql_injection_vs_normal,Edge-IIoTset SQL injection vs NORMAL,Edge-IIoTset,modern7,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/edge_iiotset_sql_injection_vs_normal/edge_iiotset_sql_injection_vs_normal_preservedratio_train500minority_15500majority_test500minority_15500majority_modern7.csv,data/edge-iiotset/edge_iiotset_sql_injection_vs_normal/edge_iiotset_sql_injection_vs_normal_preservedratio_train500minority_15500majority_test500minority_15500majority_modern7.csv,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,train500_test500_modern_ids_7d,15500,500,15500,500,32000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/edge_iiotset_sql_injection_vs_normal/candidate_manifest.json;metadata/source_manifests/modern_ids/edge_iiotset_sql_injection_vs_normal/split_metadata.json,Materialized from public Kaggle mirror; official IEEE DataPort remains login/subscription-gated.,
19,edge_iiotset_password_vs_normal,Edge-IIoTset Password vs NORMAL,Edge-IIoTset,modern7,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/edge_iiotset_password_vs_normal/edge_iiotset_password_vs_normal_preservedratio_train500minority_16000majority_test500minority_16000majority_modern7.csv,data/edge-iiotset/edge_iiotset_password_vs_normal/edge_iiotset_password_vs_normal_preservedratio_train500minority_16000majority_test500minority_16000majority_modern7.csv,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,train500_test500_modern_ids_7d,16000,500,16000,500,33000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/edge_iiotset_password_vs_normal/candidate_manifest.json;metadata/source_manifests/modern_ids/edge_iiotset_password_vs_normal/split_metadata.json,Materialized from public Kaggle mirror; official IEEE DataPort remains login/subscription-gated.,
20,edge_iiotset_uploading_vs_normal,Edge-IIoTset Uploading vs NORMAL,Edge-IIoTset,modern7,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_7d/edge_iiotset_uploading_vs_normal/edge_iiotset_uploading_vs_normal_preservedratio_train500minority_21000majority_test500minority_21000majority_modern7.csv,data/edge-iiotset/edge_iiotset_uploading_vs_normal/edge_iiotset_uploading_vs_normal_preservedratio_train500minority_21000majority_test500minority_21000majority_modern7.csv,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,Omitted from downloadable CSV bundle for a conservative public release posture: the official IEEE DataPort route is gated and the public mirror terms carry noncommercial/share-alike obligations that should not be overclaimed for a general public bundle.,train500_test500_modern_ids_7d,21000,500,21000,500,43000,metadata/source_manifests/materialization/modern7_materialization_manifest.json,metadata/source_manifests/modern_ids/edge_iiotset_uploading_vs_normal/candidate_manifest.json;metadata/source_manifests/modern_ids/edge_iiotset_uploading_vs_normal/split_metadata.json,Materialized from public Kaggle mirror; official IEEE DataPort remains login/subscription-gated.,
21,5g_nidd_tcp_connect_scan_vs_benign,5G-NIDD TCPConnectScan vs BENIGN,5G-NIDD,additional10,true,downloadable_csv_included,data/5g-nidd/5g_nidd_tcp_connect_scan_vs_benign/5g_nidd_tcp_connect_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_additional10/5g_nidd_tcp_connect_scan_vs_benign/5g_nidd_tcp_connect_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,data/5g-nidd/5g_nidd_tcp_connect_scan_vs_benign/5g_nidd_tcp_connect_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,,,Included with attribution caveat under the documented open Fairdata CC BY 4.0 route; the official IEEE DataPort route remains gated.,train500_test500_modern_ids_additional10,11500,500,11500,500,24000,metadata/source_manifests/materialization/additional10_materialization_manifest.json,metadata/source_manifests/modern_ids/5g_nidd_tcp_connect_scan_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/5g_nidd_tcp_connect_scan_vs_benign/split_metadata.json,Official IEEE DataPort route remains gated; local artifact was sourced from the open Fairdata route.,5G Offset and TCP sequence-base artifacts filtered at benchmark materialization; remaining low-card categorical handling should be monitored.
22,5g_nidd_syn_scan_vs_benign,5G-NIDD SYNScan vs BENIGN,5G-NIDD,additional10,true,downloadable_csv_included,data/5g-nidd/5g_nidd_syn_scan_vs_benign/5g_nidd_syn_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_additional10/5g_nidd_syn_scan_vs_benign/5g_nidd_syn_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,data/5g-nidd/5g_nidd_syn_scan_vs_benign/5g_nidd_syn_scan_vs_benign_preservedratio_train500minority_11500majority_test500minority_11500majority_additional10.csv,,,Included with attribution caveat under the documented open Fairdata CC BY 4.0 route; the official IEEE DataPort route remains gated.,train500_test500_modern_ids_additional10,11500,500,11500,500,24000,metadata/source_manifests/materialization/additional10_materialization_manifest.json,metadata/source_manifests/modern_ids/5g_nidd_syn_scan_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/5g_nidd_syn_scan_vs_benign/split_metadata.json,Official IEEE DataPort route remains gated; local artifact was sourced from the open Fairdata route.,5G Offset and TCP sequence-base artifacts filtered at benchmark materialization; remaining low-card categorical handling should be monitored.
23,5g_nidd_udp_scan_vs_benign,5G-NIDD UDPScan vs BENIGN,5G-NIDD,additional10,true,downloadable_csv_included,data/5g-nidd/5g_nidd_udp_scan_vs_benign/5g_nidd_udp_scan_vs_benign_preservedratio_train500minority_15000majority_test500minority_15000majority_additional10.csv,data/preserved_ratio_experiments/processed/train500_test500_modern_ids_additional10/5g_nidd_udp_scan_vs_benign/5g_nidd_udp_scan_vs_benign_preservedratio_train500minority_15000majority_test500minority_15000majority_additional10.csv,data/5g-nidd/5g_nidd_udp_scan_vs_benign/5g_nidd_udp_scan_vs_benign_preservedratio_train500minority_15000majority_test500minority_15000majority_additional10.csv,,,Included with attribution caveat under the documented open Fairdata CC BY 4.0 route; the official IEEE DataPort route remains gated.,train500_test500_modern_ids_additional10,15000,500,15000,500,31000,metadata/source_manifests/materialization/additional10_materialization_manifest.json,metadata/source_manifests/modern_ids/5g_nidd_udp_scan_vs_benign/candidate_manifest.json;metadata/source_manifests/modern_ids/5g_nidd_udp_scan_vs_benign/split_metadata.json,Official IEEE DataPort route remains gated; local artifact was sourced from the open Fairdata route.,5G Offset and TCP sequence-base artifacts filtered at benchmark materialization; remaining low-card categorical handling should be monitored.
